trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
"2020-01-01 00:00:01",270319200000000,"fraud_Kirlin and Sons","personal_care",2.86,"Jeffery","Moore","M","350 Dillion GULCH","Columbine","CO",80123,39.5397,-105.073,33354,"Individual psychotherapist","1968-01-29","0b242abb623afc4985d9c2d11eaa5006",1371816707,39.4805,-105.829,0
"2020-01-01 00:00:33",630423300000000,"fraud_Sporer-Keebler","health_fitness",29.84,"Joanne","Williams","F","36387 Kenneth Court Apt. 951","Atlanta","GA",30318,33.784,-84.437,165441,"Sales professional, IT","1962-12-15","1f76529f85175ae5a4221b183ab5963e",1371816738,34.618,-85.137,0
"2020-01-01 00:01:05",388508000000000,"fraud_Swaniawski, Kalinowski and Hill","misc_net",41.28,"Ashley","Lopez","F","45065 Robert Unions","Savannah","GA",31404,32.051,-81.106,159677,"Librarian, public","1981-08-09","a1ad471d153d11c772008fbde451113c",1371816770,32.133,-82.21,0
"2020-01-01 00:01:30",353409400000000,"fraud_Boyer PLC","shopping_net",60.39,"Stacy","House","F","554 Beverly Center","San Jose","CA",95125,37.285,-121.84,260849,"Radiographer, therapeutic","1983-05-18","298c4397c4b4d1378393521d89856f6c",1371816795,37.123,-121.1,1
"2020-01-01 00:02:01",375304000000000,"fraud_Turner, Zboncak and Monahan","gas_transport",45.32,"Tiffany","Hall","F","012 Kimberly Union","New York","NY",10001,40.7128,-74.006,8336817,"Financial adviser","1955-09-03","3b5160b73b54784a9e223075b8e967a5",1371816821,41.2,-73.8,0
"2020-01-01 00:02:35",601131000000000,"fraud_Luettgen, Sawayn and Purdy","grocery_pos",120.52,"Mark","Taylor","M","789 Oak St","Chicago","IL",60601,41.8781,-87.6298,2716000,"Architect","1972-11-20","4c6271c84c65895b0f334186c90678b6",1371816855,42.1,-87.3,0
"2020-01-01 00:03:10",456789000000000,"fraud_Konopelski-Goldner","shopping_pos",342.1,"Jessica","Miller","F","321 Pine St","Seattle","WA",98101,47.6062,-122.332,724745,"Writer","1990-05-15","5d7382d95d76906c1g445297d01789c7",1371816890,48.0,-121.9,1
"2020-01-01 00:04:00",301234500000000,"fraud_Goyette-Heller","kids_pets",12.99,"Robert","Smith","M","654 Main St","Dallas","TX",75201,32.7767,-96.797,1300000,"Engineer","1985-03-22","6e8493e06e87017d2h556308e12890d8",1371816940,33.1,-96.4,0
"2020-01-01 00:05:00",543210900000000,"fraud_Block-Durgan","home",100.0,"Mary","Johnson","F","987 Broad St","Miami","FL",33101,25.7617,-80.1918,442241,"Nurse","1960-07-12","7f9504f17f98128e3i667419f23901e9",1371817000,26.2,-79.8,0
"2020-01-01 00:06:00",411111100000000,"fraud_Eichmann, Gislason and West","food_dining",55.5,"James","Williams","M","159 Second St","Boston","MA",02108,42.3601,-71.0589,675647,"Teacher","1978-10-31","8g0615g28g09239f4j778520g34012f0",1371817060,42.5,-70.8,0
